"","EDN","ED_Name","Prov","Electors","Nbr_Poll","Val_Bal","Val_Pct","Rej_Bal","Pct_Rej","Tot_Bal","TO","Win_Cand","LPV","CPV","NDV","GRV","BQV","OTV","Maj","Cand_Nbr","Male","Female","Avg_Gender","Tot_Memb","like_vote","sat_harp","ecc_sat","fin_own","Lib","CPC","NDP","Har","Tru","Mul","Count","Avg_Memb","Pct_Fem","Win","Win_Party","CPC_Win","LIB_Win","NDP_Win","GRN_Win","BQP_Win","OTP_Win"
"1",10001,"Avalon","NL",68487,220,42086,99.6,162,0.4,42248,61.7,"McDonald, Ken Liberal/Libéral",23528,4670,6075,228,0,7585,16027,6,31,77,0.712962962962963,6,1.43181818181818,3.22,2.71844660194175,2.01851851851852,66.8019801980198,31.5445544554455,59.76,24.3564356435644,64.990099009901,55.821052631579,108,0.0555555555555556,0.712962962962963,23528,"LIB",0,1,0,0,0,0
"2",10002,"Bonavista--Burin--Trinity","NL",62462,260,35092,99.5,173,0.5,35265,56.5,"Foote, Judy M. Liberal/Libéral",28704,3534,2557,297,0,0,25170,4,27,53,0.6625,8,1.41269841269841,3.01351351351351,2.50666666666667,2.05263157894737,70.9444444444444,34,53.6470588235294,26.8552631578947,69.0135135135135,53.2238805970149,80,0.1,0.6625,28704,"LIB",0,1,0,0,0,0
"3",10003,"Coast of Bays--Central--Notre Dame","NL",64226,233,35448,99.6,145,0.4,35593,55.4,"Simms, Scott Liberal/Libéral",26523,6479,2175,271,0,0,20044,4,48,55,0.533980582524272,3,1.39506172839506,3.03191489361702,2.66315789473684,2.24,66.0227272727273,34.8181818181818,53.2317073170732,29.5869565217391,64.5930232558139,56.1666666666667,103,0.029126213592233,0.533980582524272,26523,"LIB",0,1,0,0,0,0
"4",10004,"Labrador","NL",20045,84,12373,99.6,53,0.4,12426,62,"Jones, Yvonne Liberal/Libéral",8878,1716,1779,0,0,0,7099,3,11,22,0.666666666666667,2,1.28571428571429,3.03225806451613,2.375,1.78787878787879,71.1333333333333,38.3103448275862,54,32.4193548387097,68.741935483871,55.037037037037,33,0.0606060606060606,0.666666666666667,8878,"LIB",0,1,0,0,0,0
"5",10005,"Long Range Mountains","NL",71918,253,41824,99.7,108,0.3,41932,58.3,"Hutchings, Gudie Liberal/Libéral",30889,5085,4739,1111,0,0,25804,4,53,76,0.589147286821705,13,1.49038461538462,3.21951219512195,2.66666666666667,2.16535433070866,63.6639344262295,31.3333333333333,54.9915254237288,22.3770491803279,62.3529411764706,53.5181818181818,129,0.10077519379845,0.589147286821705,30889,"LIB",0,1,0,0,0,0
"6",10006,"St. John's East/St. John's-Est","NL",66304,186,44880,99.8,111,0.2,44991,67.9,"Whalen, Nick Liberal/Libéral",20974,2938,20328,500,0,140,646,5,77,77,0.5,14,1.35114503816794,3.21052631578947,2.58940397350993,2.07894736842105,66.8445945945946,26.8187919463087,63.8424657534247,20.7718120805369,66.5890410958904,61.8206896551724,154,0.0909090909090909,0.5,20974,"LIB",0,1,0,0,0,0
"7",10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl","NL",67596,185,44801,99.7,133,0.3,44934,66.5,"O'Regan, Seamus Liberal/Libéral",25922,2047,16467,365,0,0,9455,4,74,78,0.522875816993464,7,1.36974789915966,3.25694444444444,2.67586206896552,2.16107382550336,67.0434782608696,28.5579710144928,64.051094890511,21.9432624113475,65.841726618705,62.6666666666667,153,0.0457516339869281,0.509803921568627,25922,"LIB",0,1,0,0,0,0
"8",11001,"Cardigan","PE",28889,90,22485,99.6,96,0.4,22581,78.2,"MacAulay, Lawrence Liberal/Libéral",14621,3632,2503,1434,0,295,10989,5,22,21,0.488372093023256,3,1.2,3.02439024390244,2.63414634146341,2.18604651162791,53.8571428571429,40.5365853658537,45.2142857142857,28.9756097560976,54.6341463414634,44.7560975609756,43,0.0697674418604651,0.488372093023256,14621,"LIB",0,1,0,0,0,0
"9",11002,"Charlottetown","PE",28129,82,21165,99.5,99,0.5,21264,75.6,"Casey, Sean Liberal/Libéral",11910,3136,4897,1222,0,0,7013,4,35,24,0.406779661016949,3,1.46666666666667,3.28571428571429,2.68518518518519,2.13793103448276,60.2307692307692,31.0961538461538,54,23.9259259259259,64.4259259259259,54.6274509803922,59,0.0508474576271186,0.406779661016949,11910,"LIB",0,1,0,0,0,0
"10",11003,"Egmont","PE",27858,86,21362,99.6,87,0.4,21449,77,"Morrissey, Bobby Liberal/Libéral",10521,6185,4097,559,0,0,4336,4,17,23,0.575,3,1.27586206896552,3.07692307692308,2.71052631578947,2.25,57.4102564102564,36.1282051282051,49.3243243243243,29.1315789473684,56.1052631578947,46.7297297297297,40,0.075,0.575,10521,"LIB",0,1,0,0,0,0
